EquityFeedAlerts,,2019-06-12 15:15:00,20.403,BLOCK TRADE PDD 662683 shares 2040 151330
Black_Annoymos,True,2019-06-12 14:40:00,20.349,BABA AMZN Move over to fast growing ecommerce company PDD financially strong with ZERO debtsimplywallststocksusret
Black_Annoymos,True,2019-06-12 14:38:00,20.355,PDD Future Outlooksimplywallststocksusret
Black_Annoymos,True,2019-06-12 12:28:00,20.22,AMZN Why buy a company growth stopped Invest PDD
Black_Annoymos,True,2019-06-12 12:15:00,20.06,BABA Party over Move to PDD
Black_Annoymos,True,2019-06-12 12:14:00,20.073,PDD lol
taguru,,2019-06-12 10:39:00,19.86,PDD Pinduoduo PDD 2005 was the months biggest loser descending 10 Expect a Downtrend reversal tickeroncomappnewsSearch
Turtletrading,,2019-06-12 10:36:00,19.846,PDD Pinduoduo PDD 2005 was this quarters top loser falling 20 Expect a Downtrend reversal tickeroncomappnewsSearch
