ant3440,,2019-06-12 15:58:00,27.68,MGM added
EstimizeAlerts,,2019-06-12 15:07:00,27.61,MGMs RevPAR is a key growth metric for their next report on 0801 AMC Will they beat last quarters 1550 RevPARestimizecomintromgmchar
EstimizeAlerts,,2019-06-12 10:36:00,27.935,Heres what 9 Estimize analysts believe MGM will report for Q2 2019 revenue Reporting 0801 AMCestimizecomintromgmchar
sleekOptions,True,2019-06-12 09:58:00,27.843,Update2 MGM Jun21 26 Calls Up 335 since alerted on Jun 04
sleekOptions,True,2019-06-12 09:58:00,27.843,Peak gain percentage for last 5 expired setups MGM 31250 per 21429 per 1579 per 1379 per 7727 per 30000 per
