marketchameleonwins,,2019-06-12 15:40:00,94.004,NXPI NXPI 18Oct19 105 Calls tied to stock traded 2775 for a total premium of 1221000 marketchameleoncomOvervie
SmallShare,,2019-06-12 15:40:00,94.004,NXPI exdiv tomorrow 025 youtubecomwatchv62T5L4
cybercash28,,2019-06-12 15:34:00,93.993,NXPI Morgan Stanley UpgradesNXP Semiconductors NXPI94069900 11400Equal Weight Overweight
EstimizeAlerts,,2019-06-12 15:10:00,94.475,NXPIs Gross Margins is a key growth metric for their next report on 0725 AMC Will they beat last quarters 527 Gross Marginsestimizecomintronxpicha
MariaC82,,2019-06-12 12:41:00,95.27,Upgrades Downgrades Initiations More NXPI CBAY JNPR EAT FTCH
VladoSykora,,2019-06-12 12:34:00,95.395,Strong Buy NDX earnings ratings INCY ALXN CMCSA LRCX NXPIsource finscreener
livetraderalerts,,2019-06-12 12:05:00,95.447,NXPI 20m ago NXP and Microsoft Bring Microsoft Azure Sphere Security to the Intelligent Edge with a New EnergyEfficien globenewswirecomnewsrele
Benzinga,,2019-06-12 11:09:00,95.37,Morgan Stanley Upgrades NXP Semiconductor We See A Stock Multiple With A Disproportionate Skew Higher NXPI QCOM benzingacomanalystrating
EstimizeAlerts,,2019-06-12 10:54:00,95.2,NXPI analysts on Estimize are expecting 1709 YoY EPS growth for Q2 up from 506 in Q1 Reporting 0725 AMCestimizecomintronxpicha
theflynews,,2019-06-12 10:18:00,95.766,Fly Intel Top five analyst upgrades NXPI theflycomlandingPageNews
