superlachy,,2019-06-10 15:55:00,0.21,CEI OMG CEI
LickMyBulls,True,2019-06-10 15:40:00,0.2085,CEI they are def controlling the price and wont let it drop below 20 which is neat
Cooke126,,2019-06-10 15:27:00,0.2072,CEI When DGF is done diluting their shares the news will come DGF obviously just wants their money now because they have no hopetrust in CamberLineal That should bed obvious
bullsofwallst1,,2019-06-10 15:26:00,0.21,CEI hey bitchs you guys still not at the moon
Fox39,,2019-06-10 15:24:00,0.209,CEI I thought I was in the Legacy reserves lgcyroom sorry Guys
Fox39,,2019-06-10 15:20:00,0.2085,CEI lgcy
Fox39,,2019-06-10 15:04:00,0.21,CEI lgcy if the news is Good if the news is bad it could be over Im all in
Cchristodoulou,True,2019-06-10 14:58:00,0.21,CEI James you know its time for POWAAAA HOUWAAAS
KBrown37,,2019-06-10 14:50:00,0.2089,CEI Just fucking take my money and give up already sick of seeing people lose
jpstrings,False,2019-06-10 14:49:00,0.2094,CEI Just think if you invested your CEI money in NBY today how much would you have made Asking for a friend
LickMyBulls,,2019-06-10 14:31:00,0.209,CEI I wont make Lamborghini money here but a solid 30k easily with the jump
Fox39,,2019-06-10 14:31:00,0.209,CEI Get youre Lambo Back
chuckie609,True,2019-06-10 14:24:00,0.2083,CEI
Fox39,,2019-06-10 14:24:00,0.2083,CEI I believe Legacy Resources Lgcy stock will rocket if theres good NewsThey have a lot of big institutional investors There will be new Wednesday or before Good or Bad if Good its going to the moon
jpstrings,False,2019-06-10 14:14:00,0.2084,CEI 02092 00060 279As of 207PM EDT Market open
Bonilegend,True,2019-06-10 14:10:00,0.2091,CEI JAMES2052 Oh great CEI prophet can you please tell us blind followers when we will see a gain or even a sign of green in our portfolios Any insight would be greatly appreciated
LickMyBulls,True,2019-06-10 14:01:00,0.2095,CEI lots of volume for non movement accumulation daily at a low price to make it look stagnant Youll see
SmallTymer,,2019-06-10 13:52:00,0.2094,CEI eonw or eomimo
tmoore711,,2019-06-10 13:49:00,0.21,CEI not a good investment hear move over to HSGX
LickMyBulls,True,2019-06-10 13:46:00,0.2099,CEI Id rather be here early than chase because this thing will jump 20 cents over and over again maybe go to 4 dollars a share its hard to know
SmurfVillage,True,2019-06-10 13:42:00,0.2091,CEI Papa not leaving this joint Hold your horses here because it will run hard
LickMyBulls,,2019-06-10 13:34:00,0.2073,CEI remember were not only investing in cei were also investing in lineal two companies in one ticker symbol with a low float think about it
Stackem,,2019-06-10 13:30:00,0.2083,CEI Still waiting on news Company should change its name to Waiting on News
Bonilegend,False,2019-06-10 13:29:00,0.2089,CEI If it looks like a turd and smells like a turd its probably CEI stock Turds dont turn to gold they get flushed
Stackem,,2019-06-10 13:28:00,0.209,CEI People pulling price targets out of their rear end
rmiotla,True,2019-06-10 13:27:00,0.2087,CEI The big one is coming California will fall into the ocean The big one is coming Miami will be under water The big one is coming with CEI merger Which will come first
LickMyBulls,True,2019-06-10 13:23:00,0.209,CEI have a sell set above 2 dollars for it will launch to probably 250 area after merger dont wanna get too greedy
SchottMoney,,2019-06-10 13:22:00,0.2089,CEI how did that merger work out for everyone this morning
cycloon,True,2019-06-10 13:16:00,0.2092,CEI postanalystcom20190610
jpstrings,False,2019-06-10 13:13:00,0.2091,CEI only down 27 that is a win for CEI 02094 00058 270As of 112PM EDT Market open
IGUANAs,,2019-06-10 13:13:00,0.2091,CEI welcome new bag holders The sooner you sell the better Refreshing your screen wont help Your phone calculator lied about those profits Wrong ticker GLTA
Robinhood_Pro,,2019-06-10 13:00:00,0.2093,CEI i got a killer position here 208 so lets get this back to 218 so i can GTFO lmao
