itsallaboutheoptions,True,2019-06-10 12:26:00,104.049,DLTR almost at target
EstimizeAlerts,,2019-06-10 11:10:00,103.315,Estimize revenue expectations are 081 higher than that of Wall Street for DLTR Q2 Reporting 0829 BMOestimizecomintrodltrcha
EstimizeAlerts,,2019-06-10 11:10:00,103.315,DLTR reported 22 Enterprise Same Store Sales last quarter Next report is on 0829 BMO Jury is still out on expectations Whats yoestimizecomintrodltrcha
