Bridge_Loan_Scam,,2019-06-10 15:36:00,0.1498,DPW weird conversation with himself
SemperKTM,False,2019-06-10 15:27:00,0.1498,DPW Wheres FrankGu Wheres logottz1 Wheres Bio Wheres Hags They all vanished LMAO
stockshakers4success,True,2019-06-10 15:17:00,0.1496,ADMP BTTX CLF PGR DPW
SemperKTM,False,2019-06-10 15:06:00,0.1493,DPW Last post from Frank Gu here was May 24th and last post on ST was May 31st on AMRN In and out like a flash sparta pumping warrior
JeLaw178,,2019-06-10 15:00:00,0.1491,NBY hahahaha last time I have been on this type of action was at 2017 between RIOT LFIN DPWawesome
DPW_NotAScam,True,2019-06-10 14:58:00,0.149,DPW TheRealHulk SourPuss peediddy VegasVixShort zpele DayPay DPWSTEALS gamer2k19 willrock elsousio wasa DilutionScam JDub529 TradeDemon75 severin HilmTy MeatSauce SemperKTM aray02 JohnJohnson RealizeRealies Billionaireclubcollc
gamer2k19,False,2019-06-10 14:52:00,0.1499,DPW Pathetic POS lets go pumpers lol PS Where is mr dpw is not a scam
lowmont,,2019-06-10 14:36:00,0.1509,DPW ok i am thinking i am dpwed all out of this trash
HiImTy,,2019-06-10 14:33:00,0.1504,DPW Shares of DPW opened at 015 on Monday DPW Holdings Inc has a 12 month low of 015 and a 12 month high of 1600 This says it all
HiImTy,False,2019-06-10 14:31:00,0.1515,DPW lowmoney posting his ass off I see Watch out for scumbags posting wishful thinkings here Hes always wrong
Dr_Krieger,,2019-06-10 14:28:00,0.1515,DPW did Frank pack up and leave
Stackem,,2019-06-10 13:38:00,0.1517,DPW Just need KungFu with some of that fried rice money
Stackem,,2019-06-10 13:20:00,0.1519,DPW Trading strategy 1 Buy a crappy penny stock pump like hell
Stackem,,2019-06-10 13:18:00,0.1524,DPW Buy low sell lower lol DPW has a rating of Do Not Touch With a Barge Pole
lowmont,True,2019-06-10 12:43:00,0.1526,DPW red to green up up up and anway
Nanell,False,2019-06-10 12:12:00,0.1525,DPW CEO is a THIEF You will lose your money if you fall for his BS Many of us learned prior to the first RS
lowmont,True,2019-06-10 12:01:00,0.1516,DPW Offering closed at 045 USD globenewswirecomnewsrele
DocOctoStock,,2019-06-10 11:49:00,0.152,DPW still at 15
lowmont,True,2019-06-10 11:46:00,0.152,DPW come on bring it more down it is not crazy enough
SemperKTM,False,2019-06-10 11:24:00,0.1535,DPW DPWs high was 595 in early 2018 late 2017 It has never been 16 The information being reported to the general public is false due to some error calculation postRS I checked the chart and its also showing wrong numbers It shows a high of 11880 in December 2017 If you divide 11880 by 20 120 RS you get 594 We were all here for the high which came after years of DPW dwelling in the 040 cent range I cant believe they allow this misinformation to exist out there and the math wasnt corrected
lowmont,True,2019-06-10 11:08:00,0.1535,DPW DPW Holdings Inc has a 12 month low of 015 and a 12 month high of 1600
lowmont,True,2019-06-10 11:07:00,0.1535,DPW Vanguard and Deutsche Bank invest hard sundanceheraldcom201906
lowmont,True,2019-06-10 11:07:00,0.1535,DPW Big Boys invest BIGGGG sundanceheraldcom201906
SemperKTM,False,2019-06-10 11:05:00,0.1523,DPW So my theory on lowmont is as follows Ault pays his pumper bill lowmont is bullish Ault defaults on his pumper bill or is past due lowmont is bearish Looks like Ault paid up for the month Lowmont is back to work
lowmont,True,2019-06-10 11:00:00,0.1523,DPW bring it more down let us see 010 so we can buy more
SemperKTM,False,2019-06-10 10:54:00,0.1524,DPW Real share value as of now is 01521 divided by 20 0007605bullish Not 2nd RS beginning of next month will take this down to 00038025 share value
lowmont,True,2019-06-10 10:43:00,0.1544,DPW Looking for 153 usd
naw103,True,2019-06-10 10:40:00,0.1561,DPW loading again here looking for 19
lowmont,True,2019-06-10 10:36:00,0.1525,DPW come on only 3 usd i am not asking much Need a new house and carhave not much time
sunnyg123,False,2019-06-10 10:34:00,0.1525,DPW Great work CEO
lowmont,True,2019-06-10 10:33:00,0.1525,DPW nice accumulation
lowmont,True,2019-06-10 10:21:00,0.1553,DPW 500000 Shares avg 0158 not selling under 15 usd
lowmont,True,2019-06-10 10:18:00,0.1565,DPW soon rs Little spread on very low volume scam more than bearish big buy blocks to the moon in the next days
Superman3000,False,2019-06-10 10:14:00,0.1551,DPW TheReaLHuLk when is the last day to sell before this POS pulls a reverse split for the second time within 3 months
lowmont,True,2019-06-10 10:07:00,0.1547,DPW i only Need 3 usd to break even come onplease
lowmont,True,2019-06-10 09:55:00,0.1564,DPW nice volume
freshcoat,True,2019-06-10 09:53:00,0.1562,DPW 16 bust today lolll
fallingcalling,False,2019-06-10 09:40:00,0.1548,DPW born loser
fallingcalling,False,2019-06-10 09:39:00,0.1542,DPW lol at literally zero volume
