BabyGangsterzTwits,True,2019-06-10 12:59:00,0.5351,DRRX NDA resubmission can pop 1015 i can feel news coming
JayShow,True,2019-06-10 12:38:00,0.5326,DRRX Shorts know longs holding on for huge potential n they have a window b4 catalysts Volume is shit Easy manipulation for big shorts
JayShow,True,2019-06-10 12:36:00,0.5327,DRRX Shorts know linge holding on for the huge potential they have a window b4 catalysts volume is shit Ez manipulation for big shorts
JayShow,True,2019-06-10 12:35:00,0.5335,DRRX everybody running gumsThe shorts are killing this stock because they can
BornKing,,2019-06-10 12:14:00,0.5323,DRRX I dont believe you until you punch 160 in the face walk over top of him slow making eye contact and jog off
