cybercash28,,2019-06-10 10:58:00,54.77,NVCR PF has 84 PT intact BTD stk IHI XLV SPY
traderjoze,,2019-06-10 10:32:00,54.568,NVCR looking at 54 test zone
traderjoze,,2019-06-10 10:20:00,55.112,NVCR need catalyst to push above old highs trimmed some at resistancelooking to add those back lower
