TobeGeist,True,2019-06-10 12:29:00,35.523,CTRP
EstimizeAlerts,,2019-06-10 11:13:00,35.463,Heres what 5 Estimize analysts believe CTRP will report for Q2 2019 revenue Reporting 0904 AMCestimizecomintroctrpcha
EstimizeAlerts,,2019-06-10 11:13:00,35.463,CTRPs Gross Margins is a key growth metric for their next report on 0904 AMC Will they beat last quarters 790 Gross Marginsestimizecomintroctrpcha
