wcheung1,,2019-06-10 14:03:00,27.765,BYND MGM is what I saw at the Bellagio yesterday
NetworkNewsWire,,2019-06-10 12:31:00,27.638,XLIVE Esports Summit to Shine Spotlight on Firms and Forces Shaping the Sector WMT MGM networknewswirecomxlivee conference
Cousin_Vinny,True,2019-06-10 12:00:00,27.765,LVS thru the mean now MGM extended WYNN CZR all moving
bobsizzla,,2019-06-10 11:38:00,27.607,MLCO WYNN MGM LVS Bernstein reporting that SJM Galaxy and MLCO all Gaines market share during first 10 days of June with GGR falling YoY HmmmmmChinese bought 83 less in US goods too in Mayhmmmmmnationalists spend going on here
bobsizzla,,2019-06-10 11:31:00,27.58,SPY MGM WYNN MLCO Well there you go Its starting Stakes just too high and finally serious enough so that the trust fund baby fake tough guy in chief has to stop playing his little games with China or hes gonna lose ALL support from business community
EstimizeAlerts,,2019-06-10 10:31:00,27.706,MGM analysts on Estimize are expecting 1440 YoY revenue growth for Q2 up from 1258 in Q1 Reporting 0801 AMCestimizecomintromgmchar
EstimizeAlerts,,2019-06-10 10:30:00,27.754,MGM reported 1550 RevPAR last quarter Next report is on 0801 AMC Jury is still out on expectations Whats yoursestimizecomintromgmchar
bobsizzla,,2019-06-10 10:01:00,27.509,WYNN MGM LVS MLCO Macau stocks screaming Trump about to Cave Lol
bobsizzla,,2019-06-10 09:32:00,26.86,SPY MLCO MGM Lol should be clear as day now smart money knows Trump is about to do the biggest can kickcave in china
