WaveGenius,,2019-06-10 14:22:00,51.628,214PM Sold UPRO for 5158 paid 4405 profit 18825 wavegeniuscom214pmsoldu
VegasVixShort,,2019-06-10 11:44:00,52.418,SPY UPRO SP 3000 before 2019 ends Get ready to make more money
VegasVixShort,True,2019-06-10 11:19:00,52.187,SPY UPRO Its going to happen Trump to CNBC China will make a deal because theyre going to have to httpswwwcnbccom20190610trumptocnbcchinawillmakeadealbecausetheyregoingtohavetohtmlsourceiosappshare7CcomappleUIKitactivityCopyToPasteboard
VegasVixShort,True,2019-06-10 11:18:00,52.156,SPY UPRO Hiring by US businesses hits a record high cnbccom20190610joltsh
VegasVixShort,,2019-06-10 10:19:00,52.084,SPY UPRO Run baby run Go go go go ATHs here we come
VegasVixShort,True,2019-06-10 10:18:00,52.077,SPY UPRO Mnuchin says the bond market is telegraphing a Fed rate cut not a recession cnbccom20190610mnuchin
VegasVixShort,True,2019-06-10 10:17:00,52.063,SPY UPRO Dow jumps after the US and Mexico reach a deal to avoid tariffs httpswwwcnbccom20190609dowfuturesjumpmorethan100pointsafterusmexicoreachdealtoavoidtariffshtmlsourceiosappshare7CcomappleUIKitactivityCopyToPasteboard
