dixiebull,,2019-06-10 11:39:00,59.76,picked up a few SFIX long looking at ETSY and CREE
EstimizeAlerts,,2019-06-10 11:10:00,59.775,Estimize EPS expectations are 015 lower than that of Wall Street for CREE Q4 Reporting 0820 AMCestimizecomintrocreecha
EstimizeAlerts,,2019-06-10 11:10:00,59.775,CREEs Gross Margins is a key growth metric for their next report on 0820 AMC Will they beat last quarters 379 Gross Marginsestimizecomintrocreecha
