BigDaddyTrading,,2019-03-27 13:43:00,59.092,IWM calling IWM 15350 bets on TNA 350 at 5940 ave looking for a lift on BRZU 400 at 2730
hgts,,2019-03-27 13:36:00,58.753,TNA SOXL LABU TQQQ UDOW UPRO UGAZ FAS 3xetfs TZA UP 7 LABD UP 12 SOXL UP 15 since realtime Call Fri Holding in BEAR CYCLE
zeno123,,2019-03-27 12:22:00,58.286,IWM TNA small caps and XBI LABU bio showing better relative strength to SPY and QQQ again today
TimingStockMarket,,2019-03-27 11:23:00,57.839,Just posted alert for SPX SPY COMPQ QQQ RUT IWM TQQQ TNAwwwtimingstockmarketcomhome20190326
TimingStockMarket,,2019-03-27 10:53:00,58.46,Rate cut unlikely to come soon wwwwsjcomarticlesdallasfedpresidenttoosoonforfedtoconsidercuttingrates11553679121SPX SPY COMPQ QQQ RUT IWM TQQQ TNA
TimingStockMarket,,2019-03-27 10:08:00,59.011,In our alert sent early yesterday 326 dont buy into gap up SPX SPY COMPQ QQQ RUT IWM TQQQ TNAwwwtimingstockmarketcomhome20190326
TimingStockMarket,,2019-03-27 10:04:00,59.08,Discussed longterm signal change that just showed up for SPX SPY COMPQ QQQ RUT IWM TQQQ TNAwwwtimingstockmarketcomhome20190326
