suzzzie88,,2019-03-27 14:15:00,3.51,EPIX what a loser
MuayThai,,2019-03-27 13:57:00,3.51,EPIX piss me off enuf n I will market order 5k shares Dont care if I lose coz I can make up the loss with other trades Multi id mofo
MuayThai,,2019-03-27 12:08:00,3.54,EPIX if u guys see a 5k shares dump at 4 that will be me I am getting out at break even I got much better trades for my
MuayThai,,2019-03-27 11:41:00,3.54,EPIX all these fake ids by the same person is getting very annoying I bet that is Parkinson himself 20 ids make this wall very foolish
mhenrry,True,2019-03-27 11:30:00,3.54,EPIX MuayThai might be a ladyboy There are many like this thing in Thailand They call it the 3rd gender Take your Midol little girl
MuayThai,,2019-03-27 10:04:00,3.53,EPIX mgmt sucks Nothing will come out in the next 2 days Been waiting for 10 mos for their promises Cant mkt order or drop to 2 LOL
mhenrry,True,2019-03-27 09:53:00,3.53,EPIX Also results of current combination studies with approved prostate cancer drugs are a new paradigm shift in the fight against cancer
mhenrry,True,2019-03-27 09:43:00,3.53,EPIX if you pay attention to CEOs Oppenheimer talk they are already working with partners and will share some of those results at AACR
