Aw104,,2019-03-27 13:18:00,1.007,MVIS paint drying
chris333,,2019-03-27 10:16:00,1.015,I have reread last MVIS CC call transcript AR order should come in this month or next
chris333,,2019-03-27 10:15:00,1.015,LiDAR competitor Ouster128 channel resolution for 18000 ousterioproductos1 has 2621440 pointssec MVIS has 20 million pointssec
