Orion31,True,2019-03-27 15:50:00,25.052,Todays Trading Results Feel Free To Follow Tradealike app AAPL SPY MGM MSFT FB JNJ BA NVDA VZ
EstimizeAlerts,,2019-03-27 15:10:00,24.965,MGMs RevPAR is a key growth metric for their next report on 0425 AMC Will they beat last quarters 1410 RevPARestimizecomintromgmchar
bobsizzla,,2019-03-27 12:11:00,24.965,MGM so did investors think that Muren was just lying on the Eearnings call when he said all This about CNY and hold on the earnings call
SignalBot_News,,2019-03-27 11:30:00,25.136,MGM MGM Resorts International Announces Proposed Senior Notes Offering prnewswirecomnewsrelease
SignalBot_News,,2019-03-27 11:30:00,25.136,MGM MGM Resorts International Commences Tender Offers for Senior Notes due 2020 prnewswirecomnewsrelease
EstimizeAlerts,,2019-03-27 10:45:00,25.285,MGM analysts on Estimize are expecting 1416 YoY revenue growth for Q1 down from 1754 in Q4 Reporting 0425 AMCestimizecomintromgmchar
marketchameleonwins,,2019-03-27 10:33:00,25.427,Top Implied Volatility Gainers MGM CNC CVS marketchameleoncomvolRepo
bobsizzla,,2019-03-27 10:22:00,25.503,MGM Muren gets the I cant get out of my own way award Or maybe the I have a plan for my newest plan to make a plan award
bobsizzla,,2019-03-27 10:12:00,25.441,MGM Muren a magician you could have slept for 3 years and woke to MGM Cotai National Harbor PASPSA Springfield And same stock price
