Harpua73,,2019-03-27 15:42:00,58.941,FL why is expected move so high for the next 2 days
EstimizeAlerts,,2019-03-27 15:18:00,58.627,FLs Comparable Store Sales is a key growth metric for their next report on 0524 BMO Will they beat last quarters 97 Comparable Sestimizecomintroflchart
EstimizeAlerts,,2019-03-27 11:15:00,58.07,Estimize revenue expectations are 034 higher than that of Wall Street for FL Q1 Reporting 0524 BMOestimizecomintroflchart
