TaoHaus,True,2019-03-27 15:15:00,3.115,KODK Why up today And if ER confirmed why is not not on their IR page
tukm,,2019-03-27 12:27:00,2.93,KODK cant wait til they pay off debt then execute cost savings
tukm,,2019-03-27 12:25:00,2.935,KODK would obliterate the shorts
tukm,,2019-03-27 12:25:00,2.935,KODK if board is smart they would leave a bit of the 390 mill and buyback shares 60 mil can buyback 50 of shares
Vps74,True,2019-03-27 10:18:00,2.96,KODK I have not seen kodk report on a Monday before Looks like they want more days trading after Er
