IOVA,2019-05-23 13:16:00,17.464,17.643,,-1,0.179,1.02497,1,1,17.24,17.071,17.1,IOVA once in awhile and thankfully often enough things fall in to place Thanks IOVA
NBRV,2019-05-01 09:42:00,2.165,2.23,,-1,0.065,3.00231,2,0,2.57,2.179,2.164,NBRV sure Ill take more Thanks Fda
ALPN,2019-04-04 14:04:00,7.63,7.808,,-1,0.178,2.3329,0,0,7.547,7.973,7.61,ALPN such a thinly traded stock doesnt take much volume to move the dial
NBRV,2019-03-13 11:02:00,2.815,2.832,,-1,0.017,0.60391,0,2,2.65,2.986,3,NBRV cautiously optimistic
CDTX,2019-03-19 12:56:00,2.57,2.55,,-1,-0.02,-0.77821,0,1,2.5,2.501,2.53,CDTX fiercebiotechcombiotechc
ITCI,2019-03-13 10:20:00,13.266,13.27,,-1,0.004,0.03015,0,0,13.048,13.28,13.408,ITCI one of my fav longs It will be a beast
