P82,True,2019-01-14 14:58:00,1.341,"<div class=""MessageStreamView__body___2giLh""><div><span><a data-event=""click"" data-for=""cashTag"" data-tip=""ATOS"" href=""/symbol/ATOS"" id=""ATOS-150587244-173"">$ATOS</a></span></div></div>"
BearShorter1,True,2019-01-14 12:52:00,1.349,"<div class=""MessageStreamView__body___2giLh""><div><span><a data-event=""click"" data-for=""cashTag"" data-tip=""ATOS"" href=""/symbol/ATOS"" id=""ATOS-150568531-176"">$ATOS</a></span> Maker must have eaten ton of short shares on way up. Explains why gobbling up anything he can get his hands on cheap. Nice support.</div></div>"
BearShorter1,True,2019-01-14 11:30:00,1.344,"<div class=""MessageStreamView__body___2giLh""><div><span><a data-event=""click"" data-for=""cashTag"" data-tip=""ATOS"" href=""/symbol/ATOS"" id=""ATOS-150556618-179"">$ATOS</a></span> Zero panic maker. Better off running it up to create volume and spread.</div></div>"
BearShorter1,True,2019-01-14 11:28:00,1.349,"<div class=""MessageStreamView__body___2giLh""><div><span><a data-event=""click"" data-for=""cashTag"" data-tip=""ATOS"" href=""/symbol/ATOS"" id=""ATOS-150556386-182"">$ATOS</a></span> Now they short 17k to load a 17k bid at $1.34.  Really maker. You want to pick up 126 free shares? Looks like they are trying to gap.</div></div>"
Matthews_Triax,True,2019-01-14 10:02:00,1.357,"<div class=""MessageStreamView__body___2giLh""><div><span><a data-event=""click"" data-for=""cashTag"" data-tip=""ATOS"" href=""/symbol/ATOS"" id=""ATOS-150542160-185"">$ATOS</a></span> <span><a data-event=""click"" data-for=""cashTag"" data-tip=""AGEN"" href=""/symbol/AGEN"" id=""AGEN-150542160-186"">$AGEN</a></span> <span><a data-event=""click"" data-for=""cashTag"" data-tip=""ADIL"" href=""/symbol/ADIL"" id=""ADIL-150542160-187"">$ADIL</a></span></div></div>"
